name,number,airDate,overview,season,serie,serieId
Filmed Before a Live Studio Audience,1,,Wanda and Vision struggle to conceal their powers during dinner with Vision’s boss and his wife.,1,WandaVision,1
Don't Touch That Dial,2,,"In an effort to fit in, Wanda and Vision perform a magic act in their community talent show.",1,WandaVision,1
Now in Color,3,,Wanda's pregnancy fritzes her powers as she and Vision prepare for an accelerated delivery.,1,WandaVision,1
We Interrupt This Program,4,,"Monica Rambeau, tasked with a special assignment regarding sentient weapons, goes missing.",1,WandaVision,1
On a Very Special Episode...,5,,Wanda addresses Vision's worries when he grows suspicious of the neighbors' strange behavior.,1,WandaVision,1
All-New Halloween Spooktacular!,6,,"Disturbances on Halloween separate Wanda from Vision, who looks into anomalous activity in Westview.",1,WandaVision,1
Breaking the Fourth Wall,7,,"Monica plots her return to the anomaly while Wanda navigates a slew of unsettling complications, and Vision forms a new alliance to help.",1,WandaVision,1
Episode 8,8,,,1,WandaVision,1
Episode 9,9,,,1,WandaVision,1
Chapter One: The River's Edge,1,,"As a new school year begins, the town of Riverdale is reeling from the recent, tragic death of high school golden boy Jason Blossom — and nothing feels the same.",1,Riverdale,2
Chapter Two: A Touch of Evil,2,,"As new details of Jason’s death begin to emerge, Archie pleads with Miss Grundy to come forward with what they heard at Sweetwater River.  Betty makes an effort to mend her friendship with Archie but takes a different stance with Veronica who is trying to make up for her actions.  With rumors around her brother’s death running rampant, Cheryl deals with the pressure in true Queen Bee fashion, while tensions boil over when Jughead stumbles upon a secret Archie was hoping to keep hidden.  Finally, plans for the annual fall pep rally move forward with a performance by Josie and the Pussycats and a special appearance by Mayor McCoy.",1,Riverdale,2
Chapter Three: Body Double,3,,"After new information surrounding Jason's death comes to light, Cheryl finds herself under a cloud of suspicion and forced to come clean about the last time she saw her brother. Meanwhile, Archie makes a tough decision that puts a major strain on his relationship with Miss Grundy. Elsewhere, Betty decides to revive the school newspaper and asks for Jughead's help in investigating Jason's death, while Veronica and Ethel work on exposing some of Riverdale High's football players after rumors of a ""shame book"" begin to circulate. Finally, after getting grounded by his dad Fred, Archie must figure out a way to make it to the Taste of Riverdale event where Josie and the Pussycats will be performing a song he helped write.",1,Riverdale,2
Chapter Four: The Last Picture Show,4,,"When Jughead learns that an anonymous buyer has plans to tear down the local drive-in, he fights desperately to keep it open. Betty finds her friendship with Archie on the line after stumbling upon some startling information she's uncovered about Miss Grundy's past. Elsewhere, Veronica confronts her mother Hermoine about a suspicious meeting she witnessed between her mother and a shady Southside Serpent. Finally, after uncovering Betty's diary, Alice finds the perfect opportunity to destroy Archie's golden boy image.",1,Riverdale,2
Chapter Five: Heart of Darkness,5,,"With Jason's funeral around the corner, the Blossom family moves forward with last minute preparations - and a secret agenda. Meanwhile, Archie's attempt to refocus his energy on football comes to a halt when an opportunity to work with a new music mentor presents itself. Betty dives deeper into her investigation of Jason's death and unearths some dark revelations about her family. Elsewhere, after uncovering secrets about her own family, Veronica forms an unlikely friendship with Cheryl, who is having a tougher time with Jason's impending funeral than she lets on. Finally, Hermoine turns to Fred for help after receiving a cryptic message from the Southside Serpents.",1,Riverdale,2
"Chapter Six: Faster, Pussycats! Kill! Kill!",6,,"With Riverdale High's annual variety show around the corner, Valerie's efforts to help Archie prepare for his big performance lead to some major fallout between her and Josie. Meanwhile, Betty and Jughead's investigation into Jason's death brings them to a home for troubled youth and face-to-face with Polly. Just as her relationship with her mother was on the upswing, an unexpected betrayal sends Veronica spiraling, while Josie deals with her own pressures at home after her overbearing father returns for her performance at the variety show. Finally, Hermoine's first day at Andrew's Construction finds her and Fred growing closer.",1,Riverdale,2
Chapter Seven: In a Lonely Place,7,,"When a major piece of evidence is mysteriously destroyed, new rumors begin to swirl as to who was really behind Jason's murder. Tensions build when Jughead's father returns to the fray and it's revealed that he and Fred have some unresolved issues between them. Meanwhile, Veronica takes matters into her own hands after her fight with Hermione. Cheryl approaches Betty with an unexpected proposal that leaves Betty torn.",1,Riverdale,2
Chapter Eight: The Outsiders,8,,"As Fred and his crew are about to start construction he loses his crew, which could put his livelihood in jeopardy. Wanting to help his dad, Archie and his friends pitch in to help but after one of them is attacked, the gang comes up with a plan that lands them in Southside Serpent territory. With Jughead’s secret revealed, he is worried about how his friends will react. Meanwhile, Veronica and Betty suggest throwing Polly a baby shower to make her feel better, but Polly is hesitant knowing how everyone feels.",1,Riverdale,2
Chapter Nine: La Grande Illusion,9,,"Archie reluctantly agrees to escort Cheryl to her family’s official start of maple syrup tapping because he gets an offer that could help his future. Archie starts to become skeptical of the real reason the Blossoms are so eager to help him, however he gets some helpful information for Betty about her sister. Veronica is trying to be nice and unbeknownst to her, befriends a classmate that her father’s illegal doings has hurt. Hermione is conflicted about telling Fred the truth. Meanwhile, Alice is ready to get revenge on the Blossoms once and for all with the help of her two daughters.",1,Riverdale,2
Chapter Ten: The Lost Weekend,10,,"When Fred decides to finalize the divorce with Archie’s mother Mary, Archie hides his true feelings.  Archie tries to win Valerie back with a romantic evening, however, Betty hijacks his plans when she decides to throw Jughead a surprise birthday party.  Once Cheryl learns of the party, she decides to make it interesting and things quickly get out of control.  Meanwhile, Veronica contemplates whether she should participate in the deposition to help get her Dad released.",1,Riverdale,2
Chapter Eleven: To Riverdale and Back Again,11,,"Betty is slammed overseeing Homecoming and Reunion weekend, but Alice wants her to help with the Jason Blossom investigation. Alice turns to Archie and Veronica for help, but when Betty discovers they are working with her mom, she is not happy. After seeing his father FP start to clean up his act, Jughead wonders if it's the right time to give him another chance. Cheryl and Polly have both decided to go to Homecoming in Jason's honor, until a revelation waylays their plans. Meanwhile, Fred and Mary attend the Homecoming dance, leaving Fred to possibly reconsider the divorce.",1,Riverdale,2
Chapter Twelve: Anatomy of a Murder,12,,"Archie and Veronica are shocked to learn of the arrest but know they need to come clean to their parents about what they uncovered. Still hurt by the betrayal of his friends and torn over who to trust, Jughead reluctantly joins them in a quest for truth. Meanwhile, Cheryl confronts her mom about why she treats her so much worse than she ever did with Jason.",1,Riverdale,2
Chapter Thirteen: The Sweet Hereafter,13,,"Archie and Veronica continue to grow closer.  Betty is tired of her family acting as if nothing has happened and confronts her mother.  Jughead finds himself in an unexpected situation, leaving Archie and the gang scrambling.  Hermione makes Fred an offer that seems too good to be true.  Meanwhile, the truth about Blossoms’ family business is revealed leaving Cheryl to take matters into her own hands.",1,Riverdale,2
Chapter Fourteen: A Kiss Before Dying,1,,"As Fred's life hangs in the balance following the shooting at Pop's diner, Archie struggles with the emotional aftermath of what he witnessed. Meanwhile, as Veronica steps out of her comfort zone to support Archie, she learns that her father Hiram has arrived to Riverdale earlier than expected. Elsewhere, at Pop's diner, Pop Tate recounts the chilling details of the shooting, which leaves Jughead and Betty questioning the gunman's true motives. Lastly, after running into Cheryl at the hospital, Betty and Kevin are surprised to learn about the fire at Thornhill.",2,Riverdale,2
Chapter Fifteen: Nighthawks,2,,"With the gunman still at large and the residents of Riverdale on edge, Betty leads the charge to save Pop's after learning that the diner may be forced to close its doors forever. Meanwhile, the gang becomes increasingly concerned for Archie's well being after noticing a string of unusual behavior from him. Elsewhere, Betty and Veronica approach Cheryl and Josie for their help saving Pop's, while Jughead's attempt to find FP a new lawyer may have some serious repercussions. Finally, when a past betrayal unexpectedly comes to light, Veronica finds herself at a crossroads with Hiram and Hermione.",2,Riverdale,2
Chapter Sixteen: The Watcher in the Woods,3,,"Archie gets frustrated by the lack of progress made in catching his father’s shooter, so he takes matters into his own hands to send the gunman a message. Meanwhile, Veronica is thrilled when Hiram’s attempt to start fresh means she gets to introduce him to her friends, including Archie. Elsewhere, Jughead starts his first day at Southside High and is befriended by a Southside Serpent named Toni, while Kevin’s attempt at having a little fun causes Betty to grow concerned for his safety.",2,Riverdale,2
Chapter Seventeen: The Town That Dreaded Sundown,4,,"When Archie’s attempt to take matters into his own hands spirals out of control, Mayor McCoy calls an emergency town hall meeting to deal with the growing chaos in Riverdale. Meanwhile, when Betty finds herself at the center of a deepening mystery, her decision to keep some parts of it from Jughead causes further friction between the two. Elsewhere, Veronica grows concerned for Archie when she realizes the lengths he would go to seek revenge against the person terrorizing Riverdale. Finally, tensions between the North and Southside finally come to a head and leads to an unexpected showdown.",2,Riverdale,2
Chapter Eighteen: When A Stranger Calls,5,,"When Alice publishes a fiery piece in the Riverdale Register blasting the Southside, Jughead is forced to take matters into his own hands to try and keep the peace. Betty turns to Archie for help after receiving an ultimatum that could potentially destroy some of her closest relationships. With their SoDale open house fast approaching, Hiram and Hermoine enlist the help of an unlikely ally to get some potential investors on board. Finally, Veronica welcomes her old friend Nick St. Clair to Riverdale, but his plans for a wild night with the gang quickly takes an unexpected turn.",2,Riverdale,2
Chapter Nineteen: Death Proof,6,,"After a charge led by Mayor McCoy threatens to further escalate tensions between the North and Southside, Jughead, along with Archie, tries to put a stop to a dangerous alliance being considered between the Serpents and a long-time rival. Betty turns to Veronica for help when she’s thrust into the center of a burgeoning mystery surrounding The Sugarman. Finally, Cheryl confronts her mother Penelope after a traumatic run-in forces her to make a stark realization.",2,Riverdale,2
