name,number,airDate,overview,poster,serie,serieId
Season 1,1,2021-01-15,,50Uk9hd7iLCQBAqrwxxZfwnx0R2.jpg,WandaVision,1
Season 1,1,2017-01-26,,iyLxqUGwOUurAKMOR8hSXmxMISU.jpg,Riverdale,2
Season 2,2,2017-10-11,,yrsTz3PAUyKmLaNxvNOGX9alubu.jpg,Riverdale,2
Season 3,3,2018-10-10,,gskv297rlbyzLaTU1XZf8UBbxp0.jpg,Riverdale,2
Season 4,4,2019-10-09,,4X7o1ssOEvp4BFLim1AZmPNcYbU.jpg,Riverdale,2
Season 5,5,2021-01-20,,wRbjVBdDo5qHAEOVYoMWpM58FSA.jpg,Riverdale,2
Season 1,1,2017-09-25,,hiNyjUSTFrbMv3Sc0CxNW2o39az.jpg,The Good Doctor,3
Season 2,2,2018-09-24,"Dr. Shaun Murphy’s world has begun to expand as he continues to work harder than he ever has before, navigating his new environment and relationships to prove to his colleagues at the prestigious St. Bonaventure Hospital’s surgical unit that his extraordinary medical gifts will save lives.",sIq4SFloM0JSeRNAQVqb5g5zAng.jpg,The Good Doctor,3
Season 3,3,2019-09-23,"Dr. Shaun Murphy continues to use his extraordinary medical gifts at St. Bonaventure Hospital’s surgical unit. As his friendships deepen, Shaun tackles the world of dating for the first time and continues to work harder than he ever has before.",8QFssOwaWZ3eB60cGwDpfrZBscv.jpg,The Good Doctor,3
Season 4,4,2020-11-02,"Dr. Shaun Murphy continues to use his extraordinary medical gifts at St. Bonaventure Hospital’s surgical unit. As his romantic relationship with Lea deepens, he will also face new responsibilities as a fourth-year resident when he is put in charge of supervising a new set of residents that will test him in ways he cannot predict. Meanwhile, the team must deal with the uncertainty and pressure that the COVID-19 pandemic brings now that it has hit their hospital.",6tfT03sGp9k4c0J3dypjrI8TSAI.jpg,The Good Doctor,3
Season 1,1,2018-10-25,"Continuing the tradition of The Vampire Diaries and The Originals, the story of the next generation of supernatural beings at the Salvatore Boarding School for the Young & Gifted. Klaus Mikaelson's daughter, 17-year-old Hope Mikaelson; Alaric Saltzman's twins, Lizzie and Josie Saltzman; and other young adults come of age in the most unconventional way possible, nurtured to be their best selves... in spite of their worst impulses. Will these young witches, vampires and werewolves become the heroes they want to be — or the villains they were born to be?",bULKxDY88WNWsKedNTSfLtmmiER.jpg,Legacies,4
Season 2,2,2019-10-10,,1Uhoi348GEg4DObGrVLNUqtKtdu.jpg,Legacies,4
Season 3,3,2021-01-21,"As season three begins, Hope has risked everything to pull her friends back from the brink of a monstrous prophecy that threatened them. But when a heartbreaking loss shatters her whole world, Hope Mikaelson will be forced to fight fate itself.",qTZIgXrBKURBK1KrsT7fe3qwtl9.jpg,Legacies,4
Season 1,1,2005-03-27,"The first season of the American television medical drama Grey's Anatomy, began airing in the United States on the American Broadcasting Company on March 27, 2005 and concluded on May 22, 2005. The first season introduces the main character, Meredith Grey, as she enrolls in Seattle Grace Hospital's internship program and faces unexpected challenges and surprises. Season one had nine series regulars, six of whom have been part of the main cast ever since. The season initially served as a mid-season replacement for the legal drama Boston Legal, airing in the Sunday night time slot at 10:00, after Desperate Housewives. Although no clip shows have been produced for this season, the events that occur are recapped in ""Straight to Heart"", a clip-show which aired one week before the winter holiday hiatus of the second season ended. The season was officially released on DVD as two-disc Region 1 box set under the title of Grey's Anatomy: Season One on February 14, 2006 by Buena Vista Home Entertainment.\n\nThe season's reviews and critiques were generally positive, and the series received several awards and nominations for the cast and crew. The first five episodes of the second season were conceived, written and shot to air as the final five episodes of the first season, but aired during the 2005-2006 season due to the high number of viewers that watched ""Who's Zoomin' Who?"", the season's highest-rated episode with 22.22 million viewers tuning in.",ulGju8GyXE36wCgmvyFJL3sLiVm.jpg,Grey's Anatomy,5
Season 2,2,2005-09-25,"The second season of the American television medical drama Grey's Anatomy commenced airing on the American Broadcasting Company on September 25, 2005, and concluded on May 15, 2006. The season was produced by Touchstone Television, in association with Shondaland production company and The Mark Gordon Company, the showrunner being Shonda Rhimes. Actors Ellen Pompeo, Sandra Oh, Katherine Heigl, Justin Chambers, and T.R. Knight reprised their roles as surgical interns Meredith Grey, Cristina Yang, Izzie Stevens, Alex Karev, and George O'Malley, respectively. Previous main cast members Chandra Wilson, James Pickens, Jr., Isaiah Washington, and Patrick Dempsey also returned, while Kate Walsh, who began the season in a recurring capacity, was promoted to series regular status, after appearing in seven episodes as a guest star.\n\nThe season continued to focus on the surgical residency of five young interns as they try to balance to the challenges of their competitive careers, with the difficulties that determine their personal lives. It was set in the fictional Seattle Grace Hospital, located in the city of Seattle, Washington. Whereas the first season put the emphasis mainly on the unexpected impact the surgical field has on the main characters, the second one provides a detailed perspective on the personal background of each character, focusing on the consequences that their decisions have on their careers. Throughout the season, new story lines were introduced, including the love triangle between Meredith Grey, Derek Shepherd, and Addison Montgomery, the main arc of the season. Also heavily developed was the story line involving Izzie Stevens' relationship with patient Denny Duquette, which resulted in critical acclaim and positive fan response.",bO0S3fU8Tcqn0g5DCmDcX1oqA2t.jpg,Grey's Anatomy,5
Season 3,3,2006-09-21,"The third season of the American television medical drama Grey's Anatomy, commenced airing on the American Broadcasting Company on September 21, 2006, and concluded on May 17, 2007. The season was produced by Touchstone Television, in association with Shondaland Production Company and The Mark Gordon Company, the showrunner being Shonda Rhimes. Actors Ellen Pompeo, Sandra Oh, Katherine Heigl, Justin Chambers, and T.R. Knight reprised their roles as surgical interns Meredith Grey, Cristina Yang, Izzie Stevens, Alex Karev, and George O'Malley, respectively, continuing their expansive storylines as focal points throughout the season. Previous main cast members Chandra Wilson, James Pickens, Jr., Kate Walsh, Isaiah Washington, and Patrick Dempsey also returned, while previous guest stars Sara Ramirez and Eric Dane were promoted to series regulars, following the extension of their contracts.\n\nThe season followed the continuation of the surgical residency of five young interns, as they experience the demands of the competitive field of medicine, which becomes defining in their personal evolution. Although set in fictional Seattle Grace Hospital, located in Seattle, Washington, filming primarily occurred in Los Angeles, California. Whereas the first season mainly focused on the impact the surgical field has on the main characters, and the second one provided a detailed perspective on the physicians' private lives, the third season deals with the tough challenges brought by the last phase of the surgeons' internship, combining the professional motif emphasized in the first season, with the complex personal background used in the second. Through the season, several new storylines are introduced, including the arrival of Dane's character, Dr. Mark Sloan, conceived and introduced as an antagonizing presence.",aY7NuvFj5Uzliy0nrFxVWmlZFiK.jpg,Grey's Anatomy,5
