id,name,airDate,genres,inProduction,tagline,image,description,language,network,homepage
1,WandaVision,2021-01-15,"Sci-Fi & Fantasy,Mystery,Drama",true,Experience a new vision of reality.,glKDfE6btIRcVB5zrjspRIs4r52.jpg,Wanda Maximoff and Vision—two super-powered beings living idealized suburban lives—begin to suspect that everything is not as it seems.,en,Disney+,https://www.disneyplus.com/series/wandavision/4SrN28ZjDLwH
2,Riverdale,2017-01-26,"Mystery,Drama,Crime",true,Small town. Big secrets.,wRbjVBdDo5qHAEOVYoMWpM58FSA.jpg,"Set in the present, the series offers a bold, subversive take on Archie, Betty, Veronica and their friends, exploring the surreality of small-town life, the darkness and weirdness bubbling beneath Riverdale’s wholesome facade.",en,The CW,http://www.cwtv.com/shows/riverdale/
3,The Good Doctor,2017-09-25,Drama,true,"His mind is a mystery, his methods are a miracle.",6tfT03sGp9k4c0J3dypjrI8TSAI.jpg,A young surgeon with Savant syndrome is recruited into the surgical unit of a prestigious hospital. The question will arise: can a person who doesn't have the ability to relate to people actually save their lives,en,ABC,http://abc.go.com/shows/the-good-doctor
4,Legacies,2018-10-25,"Sci-Fi & Fantasy,Drama",true,Heroes. Villains. Whatever.,qTZIgXrBKURBK1KrsT7fe3qwtl9.jpg,"In a place where young witches, vampires, and werewolves are nurtured to be their best selves in spite of their worst impulses, Klaus Mikaelson’s daughter, 17-year-old Hope Mikaelson, Alaric Saltzman’s twins, Lizzie and Josie Saltzman, among others, come of age into heroes and villains at The Salvatore School for the Young and Gifted.",en,The CW,http://www.cwtv.com/shows/legacies
5,Grey's Anatomy,2005-03-27,Drama,true,The life you save may be your own.,clnyhPqj1SNgpAdeSS6a6fwE6Bo.jpg,Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.,en,ABC,http://abc.go.com/shows/greys-anatomy
6,Marvel Studios: Legends,2021-01-08,Documentary,true,"As the universe expands, explore the stories of those destined to become legends.",EpDuYIK81YtCUT3gH2JDpyj8Qk.jpg,"Revisit the epic heroes, villains and moments from across the MCU in preparation for the stories still to come. Each dynamic segment feeds directly into the upcoming series — setting the stage for future events. This series weaves together the many threads that constitute the unparalleled Marvel Cinematic Universe.",en,Disney+,https://www.disneyplus.com/series/wp/7YmtoS60RMH6
7,Cobra Kai,2018-05-02,"Action & Adventure,Drama",true,Cobra Kai never dies.,obLBdhLxheKg8Li1qO11r2SwmYO.jpg,"This Karate Kid sequel series picks up 30 years after the events of the 1984 All Valley Karate Tournament and finds Johnny Lawrence on the hunt for redemption by reopening the infamous Cobra Kai karate dojo. This reignites his old rivalry with the successful Daniel LaRusso, who has been working to maintain the balance in his life without mentor Mr. Miyagi.",en,Netflix,https://www.netflix.com/title/81002370
8,Vikings,2013-03-03,"Action & Adventure,Drama",false,,bQLrHIRNEkE3PdIWQrZHynQZazu.jpg,"The adventures of Ragnar Lothbrok, the greatest hero of his age. The series tells the sagas of Ragnar's band of Viking brothers and his family, as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods. Legend has it that he was a direct descendant of Odin, the god of war and warriors.",en,Amazon,http://www.history.com/shows/vikings
9,Lucifer,2016-01-25,"Crime,Sci-Fi & Fantasy",true,It's good to be bad.,4EYPN5mVIhKLfxGruy7Dy41dTVn.jpg,"Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals. But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.",en,FOX,https://www.netflix.com/title/80057918
10,Daughter From Another Mother,2021-01-20,"Comedy,Drama",true,,6chvnAakKI2cYW69ODBHZHm8clb.jpg,"After realizing their babies were exchanged at birth, two women develop a plan to adjust to their new lives: creating a single —and peculiar— family.",es,Netflix,https://www.netflix.com/title/81002483
11,The Mandalorian,2019-11-12,"Sci-Fi & Fantasy,Action & Adventure",true,Bounty hunting is a complicated profession.,sWgBv7LV2PRoQgkxwlibdGXKz1S.jpg,"After the fall of the Galactic Empire, lawlessness has spread throughout the galaxy. A lone gunfighter makes his way through the outer reaches, earning his keep as a bounty hunter.",en,Disney+,https://www.disneyplus.com/series/the-mandalorian/3jLIGMDYINqD
12,Black Lightning,2018-01-16,"Action & Adventure,Sci-Fi & Fantasy,Drama",true,High voltage action,h1xbvvO6oqchfLe6xh0yLNnQxeM.jpg,"Jefferson Pierce is a man wrestling with a secret. As the father of two daughters and principal of a charter high school that also serves as a safe haven for young people in a New Orleans neighborhood overrun by gang violence, he is a hero to his community.",en,The CW,http://cwtv.com/shows/black-lightning
13,Fate: The Winx Saga,2021-01-22,"Sci-Fi & Fantasy,Drama",true,Channel your element. Change your fate.,oHj6guMrLfQcBzo3uxwBJc8Y736.jpg,"The coming-of-age journey of five fairies attending Alfea, a magical boarding school in the Otherworld where they must learn to master their powers while navigating love, rivalries, and the monsters that threaten their very existence.",en,Netflix,https://www.netflix.com/title/80220679
14,Crime Scene: The Vanishing at the Cecil Hotel,2021-02-10,"Documentary,Crime,Mystery",false,,2JECBiHk8U8PIhswVd3Pthc13tG.jpg,The notorious Cecil Hotel grows in infamy when guest Elisa Lam vanishes. A dive into crime's darkest places.,en,Netflix,https://www.netflix.com/title/81183727
15,Game of Thrones,2011-04-17,"Sci-Fi & Fantasy,Drama,Action & Adventure",false,Winter Is Coming,u3bZgnGQ9T01sWNhyveQz0wH0Hl.jpg,"Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.",en,HBO,http://www.hbo.com/game-of-thrones
16,The Vampire Diaries,2009-09-10,"Drama,Sci-Fi & Fantasy",false,You remember your first kiss forever... and ever.,aBkVgChtyyJaHyZh1gfd8DbzQon.jpg,"The story of two vampire brothers obsessed with the same girl, who bears a striking resemblance to the beautiful but ruthless vampire they knew and loved in 1864.",en,The CW,http://www.cwtv.com/shows/the-vampire-diaries
17,The Flash,2014-10-07,"Drama,Sci-Fi & Fantasy",true,The fastest man alive.,lJA2RCMfsWoskqlQhXPSLFQGXEJ.jpg,"After a particle accelerator causes a freak storm, CSI Investigator Barry Allen is struck by lightning and falls into a coma. Months later he awakens with the power of super speed, granting him the ability to move through Central City like an unseen guardian angel. Though initially excited by his newfound powers, Barry is shocked to discover he is not the only ""meta-human"" who was created in the wake of the accelerator explosion -- and not everyone is using their new powers for good. Barry partners with S.T.A.R. Labs and dedicates his life to protect the innocent. For now, only a few close friends and associates know that Barry is literally the fastest man alive, but it won't be long before the world learns what Barry Allen has become...The Flash.",en,The CW,http://www.cwtv.com/shows/the-flash/
18,The Simpsons,1989-12-16,"Family,Animation,Comedy",true,"On your marks, get set, d'oh!",2IWouZK4gkgHhJa3oyYuSWfSqbG.jpg,"Set in Springfield, the average American town, the show focuses on the antics and everyday adventures of the Simpson family; Homer, Marge, Bart, Lisa and Maggie, as well as a virtual cast of thousands. Since the beginning, the series has been a pop culture icon, attracting hundreds of celebrities to guest star. The show has also made name for itself in its fearless satirical take on politics, media and American life in general.",en,FOX,http://www.thesimpsons.com/
19,Snowpiercer,2020-05-17,Sci-Fi & Fantasy,true,Prepare to brace.,95xQPSqwvQDRoB3rXUn4lRyJrBW.jpg,"Set more than seven years after the world has become a frozen wasteland, the remnants of humanity inhabit a gigantic, perpetually-moving train that circles the globe as class warfare, social injustice and the politics of survival play out.",en,TNT,https://www.tntdrama.com/snowpiercer
20,Naruto,2002-10-03,"Animation,Action & Adventure,Sci-Fi & Fantasy",false,,vauCEnR7CiyBDzRCeElKkCaXIYu.jpg,"In another world, ninja are the ultimate power, and in the Village Hidden in the Leaves live the stealthiest ninja in the land. Twelve years earlier, the fearsome Nine-Tailed Fox terrorized the village and claimed many lives before it was subdued and its spirit sealed within the body of a baby boy. That boy, Naruto Uzumaki, has grown up to become a ninja-in-training who's more interested in pranks than in studying ninjutsu.. but Naruto is determined to become the greatest ninja ever!",ja,TV Tokyo,http://www.tv-tokyo.co.jp/anime/naruto2002/
